year,series,value
2015,killed_bicycle_without_motor,347
2015,killed_cyclists_total,383
2015,killed_pedelec_users,36
2016,killed_bicycle_without_motor,331
2016,killed_cyclists_total,393
2016,killed_pedelec_users,62
2017,killed_bicycle_without_motor,314
2017,killed_cyclists_total,382
2017,killed_pedelec_users,68
2018,killed_bicycle_without_motor,356
2018,killed_cyclists_total,445
2018,killed_pedelec_users,89
2019,killed_bicycle_without_motor,327
2019,killed_cyclists_total,445
2019,killed_pedelec_users,118
2020,killed_bicycle_without_motor,284
2020,killed_cyclists_total,426
2020,killed_pedelec_users,142
2021,killed_bicycle_without_motor,241
2021,killed_cyclists_total,372
2021,killed_pedelec_users,131
2022,killed_bicycle_without_motor,266
2022,killed_cyclists_total,474
2022,killed_pedelec_users,208
2023,killed_bicycle_without_motor,256
2023,killed_cyclists_total,446
2023,killed_pedelec_users,190
2024,killed_bicycle_without_motor,250
2024,killed_cyclists_total,445
2024,killed_pedelec_users,195
2025,killed_bicycle_without_motor,245
2025,killed_cyclists_total,462
2025,killed_pedelec_users,217
