year,killed_total
1953,12631
1954,13374
1955,14041
1956,14811
1957,14878
1958,13891
1959,15654
1960,16477
1961,16805
1962,16216
1963,16282
1964,18194
1965,17483
1966,18596
1967,18926
1968,18589
1969,18693
1970,21332
1971,20794
1972,20895
1973,18424
1974,16665
1975,17011
1976,17144
1977,17397
1978,17303
1979,15558
1980,15050
1981,13635
1982,13450
1983,13553
1984,12041
1985,10070
1986,10620
1987,9498
1988,9862
1989,9779
1990,11046
1991,11300
1992,10631
1993,9949
1994,9814
1995,9454
1996,8758
1997,8549
1998,7792
1999,7772
2000,7503
2001,6977
2002,6842
2003,6613
2004,5842
2005,5361
2006,5091
2007,4949
2008,4477
2009,4152
2010,3648
2011,4009
2012,3600
2013,3339
2014,3377
2015,3459
2016,3206
2017,3180
2018,3275
2019,3046
2020,2719
2021,2562
2022,2788
2023,2839
2024,2770
2025,2814
